PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=196 ttl=63 time=10420 ms
64 bytes from 10.0.2.22: icmp_seq=214 ttl=63 time=8600 ms
64 bytes from 10.0.2.22: icmp_seq=243 ttl=63 time=5626 ms
64 bytes from 10.0.2.22: icmp_seq=253 ttl=63 time=4605 ms
64 bytes from 10.0.2.22: icmp_seq=260 ttl=63 time=3893 ms
64 bytes from 10.0.2.22: icmp_seq=274 ttl=63 time=2471 ms
64 bytes from 10.0.2.22: icmp_seq=275 ttl=63 time=2371 ms
64 bytes from 10.0.2.22: icmp_seq=279 ttl=63 time=1967 ms
64 bytes from 10.0.2.22: icmp_seq=284 ttl=63 time=1460 ms
64 bytes from 10.0.2.22: icmp_seq=299 ttl=63 time=114 ms
64 bytes from 10.0.2.22: icmp_seq=300 ttl=63 time=169 ms
64 bytes from 10.0.2.22: icmp_seq=301 ttl=63 time=260 ms
64 bytes from 10.0.2.22: icmp_seq=302 ttl=63 time=321 ms
64 bytes from 10.0.2.22: icmp_seq=303 ttl=63 time=343 ms
64 bytes from 10.0.2.22: icmp_seq=304 ttl=63 time=341 ms
64 bytes from 10.0.2.22: icmp_seq=305 ttl=63 time=365 ms
64 bytes from 10.0.2.22: icmp_seq=306 ttl=63 time=364 ms
64 bytes from 10.0.2.22: icmp_seq=307 ttl=63 time=366 ms
64 bytes from 10.0.2.22: icmp_seq=308 ttl=63 time=371 ms
64 bytes from 10.0.2.22: icmp_seq=309 ttl=63 time=370 ms
64 bytes from 10.0.2.22: icmp_seq=310 ttl=63 time=373 ms
64 bytes from 10.0.2.22: icmp_seq=311 ttl=63 time=373 ms
64 bytes from 10.0.2.22: icmp_seq=312 ttl=63 time=374 ms
64 bytes from 10.0.2.22: icmp_seq=313 ttl=63 time=371 ms
64 bytes from 10.0.2.22: icmp_seq=314 ttl=63 time=371 ms
64 bytes from 10.0.2.22: icmp_seq=315 ttl=63 time=372 ms
64 bytes from 10.0.2.22: icmp_seq=316 ttl=63 time=374 ms
64 bytes from 10.0.2.22: icmp_seq=317 ttl=63 time=376 ms
64 bytes from 10.0.2.22: icmp_seq=318 ttl=63 time=378 ms
64 bytes from 10.0.2.22: icmp_seq=319 ttl=63 time=392 ms
64 bytes from 10.0.2.22: icmp_seq=320 ttl=63 time=391 ms
64 bytes from 10.0.2.22: icmp_seq=321 ttl=63 time=392 ms
64 bytes from 10.0.2.22: icmp_seq=322 ttl=63 time=392 ms
64 bytes from 10.0.2.22: icmp_seq=323 ttl=63 time=378 ms
64 bytes from 10.0.2.22: icmp_seq=324 ttl=63 time=381 ms
64 bytes from 10.0.2.22: icmp_seq=325 ttl=63 time=380 ms
64 bytes from 10.0.2.22: icmp_seq=326 ttl=63 time=378 ms
64 bytes from 10.0.2.22: icmp_seq=327 ttl=63 time=377 ms
64 bytes from 10.0.2.22: icmp_seq=328 ttl=63 time=375 ms
64 bytes from 10.0.2.22: icmp_seq=329 ttl=63 time=376 ms
64 bytes from 10.0.2.22: icmp_seq=330 ttl=63 time=374 ms
64 bytes from 10.0.2.22: icmp_seq=331 ttl=63 time=373 ms
64 bytes from 10.0.2.22: icmp_seq=332 ttl=63 time=373 ms
64 bytes from 10.0.2.22: icmp_seq=333 ttl=63 time=373 ms
64 bytes from 10.0.2.22: icmp_seq=334 ttl=63 time=376 ms
64 bytes from 10.0.2.22: icmp_seq=335 ttl=63 time=378 ms
64 bytes from 10.0.2.22: icmp_seq=336 ttl=63 time=381 ms
64 bytes from 10.0.2.22: icmp_seq=337 ttl=63 time=387 ms
64 bytes from 10.0.2.22: icmp_seq=338 ttl=63 time=386 ms
64 bytes from 10.0.2.22: icmp_seq=339 ttl=63 time=385 ms
64 bytes from 10.0.2.22: icmp_seq=340 ttl=63 time=381 ms
64 bytes from 10.0.2.22: icmp_seq=341 ttl=63 time=377 ms
64 bytes from 10.0.2.22: icmp_seq=342 ttl=63 time=380 ms
64 bytes from 10.0.2.22: icmp_seq=343 ttl=63 time=383 ms
64 bytes from 10.0.2.22: icmp_seq=344 ttl=63 time=388 ms
64 bytes from 10.0.2.22: icmp_seq=345 ttl=63 time=389 ms
64 bytes from 10.0.2.22: icmp_seq=346 ttl=63 time=382 ms
64 bytes from 10.0.2.22: icmp_seq=347 ttl=63 time=379 ms
64 bytes from 10.0.2.22: icmp_seq=348 ttl=63 time=370 ms
64 bytes from 10.0.2.22: icmp_seq=349 ttl=63 time=367 ms
64 bytes from 10.0.2.22: icmp_seq=350 ttl=63 time=457 ms
64 bytes from 10.0.2.22: icmp_seq=351 ttl=63 time=487 ms
64 bytes from 10.0.2.22: icmp_seq=352 ttl=63 time=502 ms
64 bytes from 10.0.2.22: icmp_seq=353 ttl=63 time=502 ms
64 bytes from 10.0.2.22: icmp_seq=354 ttl=63 time=430 ms
64 bytes from 10.0.2.22: icmp_seq=355 ttl=63 time=395 ms
64 bytes from 10.0.2.22: icmp_seq=356 ttl=63 time=371 ms
64 bytes from 10.0.2.22: icmp_seq=357 ttl=63 time=370 ms
64 bytes from 10.0.2.22: icmp_seq=358 ttl=63 time=370 ms
