1558601845.358580, 0
1558601845.374237, 0
1558601845.388113, 0
1558601845.413570, 4
1558601845.427391, 4
1558601845.445046, 4
1558601845.460274, 11
1558601845.475897, 16
1558601845.490607, 17
1558601845.506960, 18
1558601845.521765, 19
1558601845.540332, 20
1558601845.559156, 20
1558601845.578057, 19
1558601845.597210, 20
1558601845.612630, 20
1558601845.627753, 20
1558601845.642669, 18
1558601845.658536, 20
1558601845.673902, 18
1558601845.692033, 20
1558601845.706887, 20
1558601845.721795, 19
1558601845.736180, 18
1558601845.751417, 20
1558601845.765718, 18
1558601845.780379, 19
1558601845.795604, 20
1558601845.810537, 19
1558601845.825545, 19
1558601845.840097, 18
1558601845.855286, 19
1558601845.870400, 13
1558601845.885952, 19
1558601845.901323, 17
1558601845.915374, 15
1558601845.931006, 14
1558601845.945281, 14
1558601845.960618, 11
1558601845.975905, 15
1558601845.990780, 16
1558601846.006226, 13
1558601846.021481, 14
1558601846.037400, 13
1558601846.051972, 12
1558601846.065973, 14
1558601846.086095, 14
1558601846.106796, 13
1558601846.127388, 13
1558601846.145809, 13
1558601846.165633, 14
1558601846.186032, 16
1558601846.206036, 15
1558601846.225345, 14
1558601846.244833, 14
1558601846.263611, 16
1558601846.282910, 17
1558601846.303195, 16
1558601846.325610, 15
1558601846.344834, 16
1558601846.364879, 17
1558601846.384692, 17
1558601846.404107, 18
1558601846.423789, 17
1558601846.443408, 17
1558601846.461886, 16
1558601846.480862, 18
1558601846.499974, 18
1558601846.519513, 17
1558601846.536546, 17
1558601846.551189, 16
1558601846.566219, 18
1558601846.580571, 19
1558601846.598122, 19
1558601846.612942, 18
1558601846.633544, 18
1558601846.653137, 18
1558601846.667696, 18
1558601846.686499, 20
1558601846.703933, 19
1558601846.719284, 20
1558601846.736717, 19
1558601846.752361, 19
1558601846.766853, 18
1558601846.785508, 20
1558601846.802790, 20
1558601846.820582, 12
1558601846.835252, 7
1558601846.850908, 7
1558601846.866041, 6
1558601846.882109, 8
1558601846.897492, 7
1558601846.912350, 7
1558601846.927715, 7
1558601846.942432, 7
1558601846.957180, 8
1558601846.972986, 8
1558601846.988735, 9
1558601847.003192, 11
